,load,inPin,inDirection,inSupply,driver,outPin,outDirection,outSupply
121458,gen12p93dl2/gtmempipe0/gtmpnode11/gtnode1cbepar21,fuse_l3_bank_en[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtcgpinf1/gtinfpar_vccvnninf_wrap1,fuse_l3_bank_en[0],out,VccVNNINF
121459,gen12p93dl2/gtmempipe0/gtmpnode11/gtnode1lnepar11,fuse_l3_bank_en[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtcgpinf1/gtinfpar_vccvnninf_wrap1,fuse_l3_bank_en[0],out,VccVNNINF
121462,gen12p93dl2/gtmempipe0/gtmpnodecom1/gtnodecompar31,fuse_l3_bank_en[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtcgpinf1/gtinfpar_vccvnninf_wrap1,fuse_l3_bank_en[0],out,VccVNNINF
121465,gen12p93dl2/gtsqmcxlinf1/gtglobalpar11,fuse_l3_bank_en[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtcgpinf1/gtinfpar_vccvnninf_wrap1,fuse_l3_bank_en[0],out,VccVNNINF
122263,gen12p93dl2/gtsqmcxlinf1/gtgacspar21,mcrgtnodecompar1_mcrgtgacspar2_np_creditrel,in,VCCGT,gen12p93dl2/gtmempipe0/gtmpnodecom1/gtnodecompar11,mcrgtnodecompar1_mcrgtgacspar2_np_creditrel,out,VCCGT
122274,gen12p93dl2/gtslice0/gtssm3/gteusystop0,gdt_broadcast.dynamic_ebb_trims[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar61,gdt_broadcast.dynamic_ebb_trims[0],out,VCCGT
122275,gen12p93dl2/gtslice0/gtssm3/gteutop0,gdt_broadcast.dynamic_ebb_trims[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar61,gdt_broadcast.dynamic_ebb_trims[0],out,VCCGT
122276,gen12p93dl2/gtslice0/gtssm3/gteusystop1,gdt_broadcast.dynamic_ebb_trims[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar61,gdt_broadcast.dynamic_ebb_trims[0],out,VCCGT
122277,gen12p93dl2/gtslice0/gtssm3/gteutop1,gdt_broadcast.dynamic_ebb_trims[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar61,gdt_broadcast.dynamic_ebb_trims[0],out,VCCGT
122278,gen12p93dl2/gtslice0/gtssm3/gteusystop2,gdt_broadcast.dynamic_ebb_trims[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar61,gdt_broadcast.dynamic_ebb_trims[0],out,VCCGT
122279,gen12p93dl2/gtslice0/gtssm3/gteutop2,gdt_broadcast.dynamic_ebb_trims[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar61,gdt_broadcast.dynamic_ebb_trims[0],out,VCCGT
122280,gen12p93dl2/gtslice0/gtssm3/gteusystop3,gdt_broadcast.dynamic_ebb_trims[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar61,gdt_broadcast.dynamic_ebb_trims[0],out,VCCGT
122281,gen12p93dl2/gtslice0/gtssm3/gteutop3,gdt_broadcast.dynamic_ebb_trims[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar61,gdt_broadcast.dynamic_ebb_trims[0],out,VCCGT
122282,gen12p93dl2/gtslice0/gtssm3/gteusystop4,gdt_broadcast.dynamic_ebb_trims[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar61,gdt_broadcast.dynamic_ebb_trims[0],out,VCCGT
122283,gen12p93dl2/gtslice0/gtssm3/gteutop4,gdt_broadcast.dynamic_ebb_trims[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar61,gdt_broadcast.dynamic_ebb_trims[0],out,VCCGT
122284,gen12p93dl2/gtslice0/gtssm3/gteusystop5,gdt_broadcast.dynamic_ebb_trims[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar61,gdt_broadcast.dynamic_ebb_trims[0],out,VCCGT
122285,gen12p93dl2/gtslice0/gtssm3/gteutop5,gdt_broadcast.dynamic_ebb_trims[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar61,gdt_broadcast.dynamic_ebb_trims[0],out,VCCGT
122286,gen12p93dl2/gtslice0/gtssm3/gteusystop6,gdt_broadcast.dynamic_ebb_trims[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar61,gdt_broadcast.dynamic_ebb_trims[0],out,VCCGT
122287,gen12p93dl2/gtslice0/gtssm3/gteutop6,gdt_broadcast.dynamic_ebb_trims[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar61,gdt_broadcast.dynamic_ebb_trims[0],out,VCCGT
122288,gen12p93dl2/gtslice0/gtssm3/gteusystop7,gdt_broadcast.dynamic_ebb_trims[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar61,gdt_broadcast.dynamic_ebb_trims[0],out,VCCGT
122535,gen12p93dl2/gtslice0/gtssm1/gtssmpar51,dftring_gtslice_out1_gtssm_in1.any_pkt.opcode[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gtssmpar41,dftring_gtssmpar4_out1_mux_in1.any_pkt.opcode[0],out,VCCGT
125178,gen12p93dl2/gtslice1/gtssm1/gtssmpar51,lsc_rtf_msg_pkt_1[10],in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gtssmpar21,lsc_rtf_msg_pkt[10],out,VCCGT
125785,gen12p93dl2/gtmempipe0/gtmpnodecom1/gtrxbarpar1,sfbe_rxbar_inf_up_1[0],in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtrasterpar11,sfbe_rxbar_inf_up,out,VCCGT
125902,gen12p93dl2/gtslice1/gtssm0/gtssmpar11,hiz_tdl_state.simple_shader_end,in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtzpipepar11,hiz_tdl_state_0.simple_shader_end,out,VCCGT
127862,gen12p93dl2/gtslice0/gtssm2/gtssmpar21,rtf_lsc_credit_rel,in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar51,rtf_lsc_credit_rel_1,out,VCCGT
128147,gen12p93dl2/gtslice1/gtsc1/gtxetlbpar21,input_from_child_1.trig_event,in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gtssmpar51,output_to_parent.trig_event,out,VCCGT
128672,gen12p93dl2/gtslice0/gtssm2/gtssmpar51,input_from_parent.trstb,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtxetlbpar21,output_to_child_2.trstb,out,VCCGT
129353,gen12p93dl2/gtslice1/gtssm2/gteutop2,dftring_gtssm_out1_gteutop_in1.any_pkt.done,in,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtssmpar51,dftring_gtssm_out1_gteutop_in1_2.any_pkt.done,out,VCCGT
130155,gen12p93dl2/gtslice1/gtssm1/gtssmpar61,dftring_gteutop_out2_gtssmpar6_in2.any_pkt.opcode[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gteutop7,dftring_gteutop_out2_gtssm_in2.any_pkt.opcode[0],out,VCCGT
130643,gen12p93dl2/gtslice1/gtssm2/gtssmpar51,dftring_gtslice_out1_gtssm_in1.any_pkt.ring_ungate,in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtxetlbpar11,dftring_gtxetlbpar1_out2_gtssm_in1.any_pkt.ring_ungate,out,VCCGT
131037,gen12p93dl2/gtslice1/gtssm3/gtlscpar11,dftring_gteutop_out2_gtlscpar1_in4.any_pkt.opcode[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gteutop2,dftring_gteutop_out2_gtssm_in2.any_pkt.opcode[0],out,VCCGT
131133,gen12p93dl2/gtslice0/gtsc1/gtscmtfixpar21,tdc_ff_eot_put_0,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtrasterpar11,tdc_ff_eot_put,out,VCCGT
131330,gen12p93dl2/gtslice1/gtsc1/gtcpipepar11,slxetlb_nodex_cmd_creditrel_0__1__0[0],in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtxetlbpar11,xetlb_in_cmd_creditrel_0_1[0],out,VCCGT
131920,gen12p93dl2/gtmempipe0/gtmpnodecom1/gtnodecompar11,lne_lngp_rr_pkt_1__0.data[100],in,VCCGT,gen12p93dl2/gtmempipe0/gtmpnode11/gtnode1lnepar11,lne_lngp_rr_pkt_0.data[100],out,VCCGT
133554,gen12p93dl2/gtmempipe0/gtmpnodecom1/gtrxbarpar1,cp_cgacgdis_raster_xbar,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtrasterpar11,cp_cgacgdis_raster_xbar_1,out,VCCGT
134647,gen12p93dl2/gtslice1/gtssm3/gtlscpar11,cfg_urbhash.urb_hash_mode[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gtssmpar31,ft_cfg_urbhash_level_inf_O_level.urb_hash_mode[0],out,VCCGT
134918,gen12p93dl2/gtslice1/gtsc1/gtxetlbpar21,slsarb_cru_slsarbout_cmp_pkt.faultcode[0],in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtrasterpar11,slsarb_cru_slsarbout_cmp_pkt.faultcode[0],out,VCCGT
135459,gen12p93dl2/gtmempipe0/gtmpnode11/gtnode1lnepar11,cbe_lne_rr_pkt_0.data[10],in,VCCGT,gen12p93dl2/gtmempipe0/gtmpnode11/gtnode1cbepar21,cbe_lne_rr_pkt_0.data[10],out,VCCGT
135776,gen12p93dl2/gtslice1/gtssm1/gteutop2,dftring_gtssm_out1_gteutop_in1.any_pkt.data[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gtssmpar51,dftring_gtssm_out1_gteutop_in1_2.any_pkt.data[0],out,VCCGT
137100,gen12p93dl2/gtslice0/gtsc1/gtfixpar41,svg_ffdop_en,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtfixpar31,svg_ffdop_en,out,VCCGT
139305,gen12p93dl2/gtslice0/gtssm3/gteutop2,dftring_gtssm_out2_gteutop_in2.any_pkt.error,in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gteusystop2,dftring_gteusystop_out1_gtssm_in1.any_pkt.error,out,VCCGT
139585,gen12p93dl2/gtslice0/gtsc1/gtrasterpar11,visagtscmtfixpar1_visa_data_bypass_cr_out.visa_bypass_cr[0],in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtscmtfixpar11,visagtscmtfixpar1_visa_data_bypass_cr_out.visa_bypass_cr[0],out,VCCGT
139646,gen12p93dl2/gtslice0/gtssm1/gteutop1,dpas_ga_sbid_thrid[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gteusystop1,dpas_ga_sbid_thrid[0],out,VCCGT
139708,gen12p93dl2/gtslice0/gtssm2/gteutop3,visaeutop_prog_bus_in.visa_serial_cfg[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar51,gteutop3_visaeutop_prog_bus_in.visa_serial_cfg[0],out,VCCGT
140574,gen12p93dl2/gtslice0/gtssm0/gtlscpar11,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140575,gen12p93dl2/gtslice0/gtssm0/gtssmpar11,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140576,gen12p93dl2/gtslice0/gtssm0/gtssmpar21,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140577,gen12p93dl2/gtslice0/gtssm0/gtssmpar41,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140578,gen12p93dl2/gtslice0/gtssm0/gtssmpar51,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140579,gen12p93dl2/gtslice0/gtssm0/gteusystop0,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140580,gen12p93dl2/gtslice0/gtssm0/gteutop0,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140581,gen12p93dl2/gtslice0/gtssm0/gteutop1,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140582,gen12p93dl2/gtslice0/gtssm0/gteutop2,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140583,gen12p93dl2/gtslice0/gtssm0/gteutop3,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140584,gen12p93dl2/gtslice0/gtssm0/gteutop4,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140585,gen12p93dl2/gtslice0/gtssm0/gteutop5,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140586,gen12p93dl2/gtslice0/gtssm0/gteutop6,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140587,gen12p93dl2/gtslice0/gtssm0/gteusystop7,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140588,gen12p93dl2/gtslice0/gtssm0/gteutop7,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140589,gen12p93dl2/gtslice0/gtssm0/gtssmpar61,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140590,gen12p93dl2/gtslice0/gtssm0/gtssmpar31,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140591,gen12p93dl2/gtslice0/gtssm2/gtlscpar11,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140592,gen12p93dl2/gtslice0/gtssm2/gtssmpar11,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140593,gen12p93dl2/gtslice0/gtssm2/gtssmpar21,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140594,gen12p93dl2/gtslice0/gtssm2/gtssmpar41,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140595,gen12p93dl2/gtslice0/gtssm2/gtssmpar51,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140596,gen12p93dl2/gtslice0/gtssm2/gteusystop0,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140597,gen12p93dl2/gtslice0/gtssm2/gteutop0,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140598,gen12p93dl2/gtslice0/gtssm2/gteutop1,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140599,gen12p93dl2/gtslice0/gtssm2/gteutop2,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140600,gen12p93dl2/gtslice0/gtssm2/gteutop3,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140601,gen12p93dl2/gtslice0/gtssm2/gteutop4,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140602,gen12p93dl2/gtslice0/gtssm2/gteutop5,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140603,gen12p93dl2/gtslice0/gtssm2/gteutop6,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140604,gen12p93dl2/gtslice0/gtssm2/gteusystop7,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140605,gen12p93dl2/gtslice0/gtssm2/gteutop7,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140606,gen12p93dl2/gtslice0/gtssm2/gtssmpar61,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140607,gen12p93dl2/gtslice0/gtssm2/gtssmpar31,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140608,gen12p93dl2/gtslice0/gtsc1/gtcpipepar11,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140609,gen12p93dl2/gtslice0/gtsc1/gtcpipepar21,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140610,gen12p93dl2/gtslice0/gtsc1/gtfixpar11,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140611,gen12p93dl2/gtslice0/gtsc1/gtfixpar21,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140612,gen12p93dl2/gtslice0/gtsc1/gtfixpar31,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140613,gen12p93dl2/gtslice0/gtsc1/gtfixpar51,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140616,gen12p93dl2/gtslice0/gtsc1/gtscmtfixpar11,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140617,gen12p93dl2/gtslice0/gtsc1/gtscmtfixpar21,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140618,gen12p93dl2/gtslice0/gtsc1/gtxetlbpar11,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140619,gen12p93dl2/gtslice0/gtsc1/gtxetlbpar21,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140620,gen12p93dl2/gtslice0/gtsc1/gtzpipepar11,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140621,gen12p93dl2/gtslice0/gtsc1/gtzpipepar21,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140622,gen12p93dl2/gtslice0/gtsc1/gtfixpar41,sliceID_raw[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
140623,gen12p93dl2/gtmempipe0/gtmpnodecom1/gtrxbarpar1,sliceID_raw_0[0],in,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtglobalpar21,sliceID_raw[0],out,VCCGT
141160,gen12p93dl2/gtslice1/gtssm2/gtlscpar11,tdg_lsc_cm_1x_sp_signals.uavflushreq,in,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtssmpar31,ft_u_lsc_flush_ctrl_lsc_pulse_tdgflush_O_pulse.uavflushreq,out,VCCGT
141384,gen12p93dl2/gtslice1/gtsc1/gtxetlbpar11,cp_cg3ddisramdft,in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtrasterpar11,cp_cg3ddisramdft,out,VCCGT
142426,gen12p93dl2/gtmempipe0/gtmpnodecom1/gtnodecompar11,lne_lngp_rr_pkt_0__0.data[100],in,VCCGT,gen12p93dl2/gtmempipe0/gtmpnode01/gtnode0lnepar11,lne_lngp_rr_pkt_0.data[100],out,VCCGT
142898,gen12p93dl2/gtslice1/gtssm3/gtssmpar51,dftring_gtslice_out1_gtssm_in1.any_pkt.ring_ungate,in,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtssmpar41,dftring_gtssmpar4_out1_mux_in1.any_pkt.ring_ungate,out,VCCGT
145432,gen12p93dl2/gtslice1/gtssm0/gtssmpar41,gteutop0_visaeutop_visa_data_bypass_cr_out.visa_bypass_cr[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm0/gteutop0,visaeutop_visa_data_bypass_cr_out.visa_bypass_cr[0],out,VCCGT
146903,gen12p93dl2/gtslice1/gtssm2/gtssmpar41,dftring_gteutop_out2_gtssmpar4_in2.any_pkt.data[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm2/gteutop0,dftring_gteutop_out2_gtssm_in2.any_pkt.data[0],out,VCCGT
147718,gen12p93dl2/gtslice0/gtssm0/gtssmpar51,gteutop3_visaeutop_visa_data_bypass_cr_out.visa_bypass_cr[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gteutop3,visaeutop_visa_data_bypass_cr_out.visa_bypass_cr[0],out,VCCGT
148117,gen12p93dl2/gen12p93dl2,sense12_vb[0],,VCCGT,gen12p93dl2/gtsqmcxlinf1/gtgacspar31,remotesense_ie_ve_ib_vb_a[0],inout,VCCGT
153043,gen12p93dl2/gtslice0/gtssm1/gtssmpar41,gdt_iovglobals.tres_b,in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar51,gdt_iovglobals.tres_b,out,VCCGT
153045,gen12p93dl2/gtslice0/gtssm1/gtssmpar31,gdt_iovglobals.tres_b,in,VCCGT,gen12p93dl2/gtslice0/gtssm1/gtssmpar51,gdt_iovglobals.tres_b,out,VCCGT
153507,gen12p93dl2/gtslice0/gtssm2/gtssmpar51,lsc_rtf_msg_pkt_1[100],in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar21,lsc_rtf_msg_pkt[100],out,VCCGT
154585,gen12p93dl2/gtslice0/gtssm0/gtssmpar61,dftring_gteutop_out2_gtssmpar6_in2.any_pkt.opcode[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gteutop7,dftring_gteutop_out2_gtssm_in2.any_pkt.opcode[0],out,VCCGT
154660,gen12p93dl2/gtslice0/gtsc1/gtfixpar11,lni_nurb_cmd_pkt_0[0],in,VCCGT,gen12p93dl2/gtmempipe0/gtmpnode01/gtnode0lnipar11,lni_nurb_cmd_pkt_0[0],out,VCCGT
154796,gen12p93dl2/gtslice0/gtsc1/gtfixpar21,lni_nurb_cmd_pkt_0[0],in,VCCGT,gen12p93dl2/gtmempipe0/gtmpnode01/gtnode0lnipar11,lni_nurb_cmd_pkt_1[0],out,VCCGT
154895,gen12p93dl2/gtslice1/gtsc1/gtfixpar11,lni_nurb_cmd_pkt_0[0],in,VCCGT,gen12p93dl2/gtmempipe0/gtmpnode01/gtnode0lnipar11,lni_nurb_cmd_pkt_2[0],out,VCCGT
154990,gen12p93dl2/gtslice1/gtsc1/gtfixpar21,lni_nurb_cmd_pkt_0[0],in,VCCGT,gen12p93dl2/gtmempipe0/gtmpnode01/gtnode0lnipar11,lni_nurb_cmd_pkt_3[0],out,VCCGT
155781,gen12p93dl2/gtslice1/gtssm3/gteusystop0,cp_cg3ddis_dpas_eu,in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gtssmpar11,cp_cg3ddis_dpas_eu,out,VCCGT
155788,gen12p93dl2/gtslice1/gtssm3/gteusystop7,cp_cg3ddis_dpas_eu,in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gtssmpar11,cp_cg3ddis_dpas_eu,out,VCCGT
156144,gen12p93dl2/gtslice0/gtsc1/gtfixpar41,cp_ramcgdis_vf,in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtrasterpar11,cp_ramcgdis_vf,out,VCCGT
159428,gen12p93dl2/gtslice0/gtssm0/gtssmpar61,vdmodi_gtssmpar2_gtssmpar6_chain.capture,in,VCCGT,gen12p93dl2/gtslice0/gtssm0/gtssmpar21,vdmodi_gtssmpar2_gtssmpar6_chain.capture,out,VCCGT
159457,gen12p93dl2/gtslice1/gtssm2/gtssmpar31,tdl_rdop_enable,in,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtssmpar11,tdl_rdop_enable_1,out,VCCGT
160733,gen12p93dl2/gtslice0/gtssm0/gtlscpar11,subsliceID_raw[0],in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtcpipepar11,subsliceID_raw[0],out,VCCGT
160734,gen12p93dl2/gtslice0/gtssm0/gtssmpar11,subsliceID_raw[0],in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtcpipepar11,subsliceID_raw[0],out,VCCGT
160735,gen12p93dl2/gtslice0/gtssm0/gtssmpar21,subsliceID_raw[0],in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtcpipepar11,subsliceID_raw[0],out,VCCGT
160736,gen12p93dl2/gtslice0/gtssm0/gtssmpar41,subsliceID_raw[0],in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtcpipepar11,subsliceID_raw[0],out,VCCGT
160737,gen12p93dl2/gtslice0/gtssm0/gtssmpar51,subsliceID_raw[0],in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtcpipepar11,subsliceID_raw[0],out,VCCGT
160738,gen12p93dl2/gtslice0/gtssm0/gteusystop0,subsliceID_raw[0],in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtcpipepar11,subsliceID_raw[0],out,VCCGT
160739,gen12p93dl2/gtslice0/gtssm0/gteutop0,subsliceID_raw[0],in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtcpipepar11,subsliceID_raw[0],out,VCCGT
160740,gen12p93dl2/gtslice0/gtssm0/gteutop1,subsliceID_raw[0],in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtcpipepar11,subsliceID_raw[0],out,VCCGT
160741,gen12p93dl2/gtslice0/gtssm0/gteutop2,subsliceID_raw[0],in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtcpipepar11,subsliceID_raw[0],out,VCCGT
160742,gen12p93dl2/gtslice0/gtssm0/gteutop3,subsliceID_raw[0],in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtcpipepar11,subsliceID_raw[0],out,VCCGT
160743,gen12p93dl2/gtslice0/gtssm0/gteutop4,subsliceID_raw[0],in,VCCGT,gen12p93dl2/gtslice0/gtsc1/gtcpipepar11,subsliceID_raw[0],out,VCCGT
